Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"totalAmountAtas = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:41,0.147s,PASSED
"verifyMatch(totalAmountAtas, totalAmountField, false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:41,0.003s,PASSED
"orderIdText = getText(findTestObject(""Summary Order/orderData/orderID""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:41,0.095s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:41,0.215s,PASSED
"totalAmountBawah = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:41,0.130s,PASSED
"verifyMatch(totalAmountBawah, totalAmountAtas, false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:41,0.002s,PASSED
"verifyElementText(findTestObject(""Summary Order/orderData/name""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:41,0.142s,PASSED
"verifyElementText(findTestObject(""Summary Order/orderData/phone""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:41,0.118s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:41,2022-07-06 00:13:42,0.152s,PASSED
"click(findTestObject(""paymentMethod/creditCard""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:42,2022-07-06 00:13:42,0.298s,PASSED
"setText(findTestObject(""fieldCreditCard/cardNumberField""), findTestData(""credit_card"").getValue(1, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:42,2022-07-06 00:13:43,0.762s,PASSED
"setText(findTestObject(""fieldCreditCard/expirationDateField""), findTestData(""credit_card"").getValue(2, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:43,2022-07-06 00:13:43,0.313s,PASSED
"setText(findTestObject(""fieldCreditCard/cvvField""), findTestData(""credit_card"").getValue(3, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:43,2022-07-06 00:13:43,0.250s,PASSED
"check(findTestObject(""promo/withoutPromo""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:43,2022-07-06 00:13:43,0.199s,PASSED
"amountAfterPromo = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:43,2022-07-06 00:13:44,0.093s,PASSED
"verifyMatch(amountAfterPromo, findTestData(""promo"").getValue(4, 5), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:44,2022-07-06 00:13:44,0.061s,PASSED
"click(findTestObject(""paymentMethod/paynowBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:44,2022-07-06 00:13:44,0.225s,PASSED
"switchToFrame(findTestObject(""Confirm OTP credit Card/iframeConfirmOTP""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:13:44,2022-07-06 00:13:44,0.169s,PASSED
"setText(findTestObject(""Confirm OTP credit Card/otpField""), findTestData(""credit_card"").getValue(4, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:44,2022-07-06 00:13:45,1.114s,PASSED
"click(findTestObject(""Confirm OTP credit Card/submitOTP""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:45,2022-07-06 00:13:46,0.853s,PASSED
switchToDefaultContent(),Chrome 103.0.5060.53,,,2022-07-06 00:13:46,2022-07-06 00:13:46,0.032s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:13:46,2022-07-06 00:13:46,0.432s,PASSED
"verifyElementText(findTestObject(""Status Payment/statusPayment""), findTestData(""credit_card"").getValue(5, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:46,2022-07-06 00:13:47,0.123s,PASSED
"totalAmountFinal = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:47,2022-07-06 00:13:47,0.133s,PASSED
"verifyMatch(totalAmountFinal, amountAfterPromo, false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:47,2022-07-06 00:13:47,0.004s,PASSED
"infoOrderID = getText(findTestObject(""Status Payment/infoOrderID""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:47,2022-07-06 00:13:47,0.159s,PASSED
"verifyMatch(infoOrderID, orderIdText, false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:47,2022-07-06 00:13:47,0.003s,PASSED
takeScreenshot(),Chrome 103.0.5060.53,,,2022-07-06 00:13:47,2022-07-06 00:13:47,0.632s,PASSED
,,,,,,,
Test Cases/Success/DM9 - Sukses checkout dengan BANK BCA,Chrome 103.0.5060.53,,,2022-07-06 00:14:15,2022-07-06 00:14:31,15.205s,PASSED
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-07-06 00:14:15,2022-07-06 00:14:18,2.621s,PASSED
navigateToUrl(base_url),Chrome 103.0.5060.53,,,2022-07-06 00:14:18,2022-07-06 00:14:19,1.224s,PASSED
